Agency,Agency Type,Distribution Channel,Duration,Destination,Net Sales,Commision (in value),Age,Claim,Product_Category
C2B,Airlines,Online,365,Asia,216.0,54.0,57,0,Annual
EPX,Travel Agency,Online,4,Asia,10.0,0.0,33,0,Cancellation
JZI,Airlines,Online,19,Asia,22.0,7.7,26,0,Value Plan
EPX,Travel Agency,Online,20,North America,112.0,0.0,59,0,Comprehensive
C2B,Airlines,Online,8,Asia,16.0,4.0,28,0,Value Plan
EPX,Travel Agency,Online,2,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,25,Asia,50.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,90,Asia,78.0,0.0,22,0,Cancellation
JZI,Airlines,Online,4,Asia,22.0,7.7,39,0,Value Plan
EPX,Travel Agency,Online,24,Europe,80.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,43,Asia,40.0,0.0,28,0,Comprehensive
C2B,Airlines,Online,365,Asia,216.0,54.0,27,0,Annual
JZI,Airlines,Online,103,Asia,26.0,9.1,48,0,Value Plan
EPX,Travel Agency,Online,6,Asia,10.0,0.0,43,0,Cancellation
EPX,Travel Agency,Online,16,Asia,47.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,8,Asia,25.0,0.0,27,0,Comprehensive
EPX,Travel Agency,Online,27,Asia,10.0,0.0,51,0,Cancellation
EPX,Travel Agency,Online,34,Asia,23.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,3,Asia,20.0,0.0,65,0,Comprehensive
EPX,Travel Agency,Online,14,Asia,10.0,0.0,47,0,Cancellation
JZI,Airlines,Online,12,Asia,30.0,10.5,35,1,Value Plan
EPX,Travel Agency,Online,31,North America,80.0,0.0,54,0,Cancellation
EPX,Travel Agency,Online,43,Oceania,42.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,5,Asia,10.0,0.0,23,0,Cancellation
EPX,Travel Agency,Online,7,Asia,56.0,0.0,46,0,Comprehensive
CWT,Travel Agency,Online,56,North America,19.8,11.88,33,0,Rental
EPX,Travel Agency,Online,29,Asia,14.0,0.0,36,0,Cancellation
C2B,Airlines,Online,30,Asia,16.0,4.0,58,1,Value Plan
JZI,Airlines,Online,8,Asia,30.0,10.5,42,0,Value Plan
CWT,Travel Agency,Online,58,Europe,29.7,17.82,31,0,Rental
EPX,Travel Agency,Online,19,Europe,10.0,0.0,36,0,Cancellation
LWC,Travel Agency,Online,9,Asia,36.0,23.4,29,0,Single Trip
C2B,Airlines,Online,2,Asia,30.0,7.5,37,0,Value Plan
EPX,Travel Agency,Online,24,Asia,31.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,38,Oceania,58.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,12,Europe,9.9,5.94,26,0,Rental
EPX,Travel Agency,Online,4,Asia,15.0,0.0,68,0,Cancellation
EPX,Travel Agency,Online,42,Asia,21.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,11,Asia,29.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,2,Asia,32.0,0.0,35,0,Comprehensive
JZI,Airlines,Online,30,Europe,125.0,43.75,43,0,Value Plan
EPX,Travel Agency,Online,8,Asia,48.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,13,Asia,29.7,17.82,27,0,Rental
EPX,Travel Agency,Online,34,Asia,20.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,24,Asia,0.0,23.76,27,0,Rental
ART,Airlines,Online,3,Asia,21.04,7.36,48,0,Annual
EPX,Travel Agency,Online,40,Asia,33.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,5,Asia,26.0,9.1,29,0,Value Plan
EPX,Travel Agency,Online,79,Asia,23.0,0.0,39,0,Comprehensive
CSR,Travel Agency,Offline,43,Asia,29.0,9.57,8,0,Comprehensive
EPX,Travel Agency,Online,25,Europe,34.0,0.0,36,0,Cancellation
C2B,Airlines,Online,16,Asia,30.55,7.64,22,0,Value Plan
EPX,Travel Agency,Online,30,Asia,10.0,0.0,32,0,Cancellation
JZI,Airlines,Online,26,Asia,35.0,12.25,27,0,Value Plan
CWT,Travel Agency,Online,6,Oceania,49.5,29.7,35,0,Rental
EPX,Travel Agency,Online,83,North America,80.0,0.0,61,0,Cancellation
JZI,Airlines,Online,9,Asia,18.0,6.3,49,0,Value Plan
CWT,Travel Agency,Online,14,Oceania,0.0,17.82,31,0,Rental
EPX,Travel Agency,Online,55,Asia,98.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,18,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,100,North America,0.0,0.0,37,0,Cancellation
EPX,Travel Agency,Online,8,Asia,10.0,0.0,31,0,Cancellation
CWT,Travel Agency,Online,20,Asia,49.5,29.7,56,0,Rental
EPX,Travel Agency,Online,26,Asia,36.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,29,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,18,Asia,77.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,55,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,1,Asia,20.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,18,Europe,29.7,17.82,43,0,Rental
EPX,Travel Agency,Online,35,North America,10.0,0.0,29,0,Cancellation
EPX,Travel Agency,Online,36,Asia,47.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,75,Europe,78.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,23,Asia,0.0,5.63,25,0,Value Plan
CWT,Travel Agency,Online,8,Europe,69.3,41.58,50,0,Rental
CWT,Travel Agency,Online,42,Oceania,69.3,41.58,34,0,Rental
EPX,Travel Agency,Online,73,Europe,0.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,9,Asia,69.3,41.58,28,0,Rental
EPX,Travel Agency,Online,32,Asia,20.0,0.0,29,0,Comprehensive
EPX,Travel Agency,Online,232,Asia,80.0,0.0,36,0,Cancellation
JZI,Airlines,Online,42,Asia,35.0,12.25,43,0,Value Plan
EPX,Travel Agency,Online,37,Asia,33.0,0.0,29,0,Cancellation
C2B,Airlines,Online,10,Asia,21.0,5.25,22,0,Value Plan
EPX,Travel Agency,Online,35,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,7,Asia,64.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,15,Asia,20.0,0.0,36,0,Comprehensive
RAB,Airlines,Online,3,Asia,15.0,6.0,38,0,Value Plan
EPX,Travel Agency,Online,17,Asia,26.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,99,Europe,227.7,136.62,50,0,Rental
EPX,Travel Agency,Online,6,Asia,10.0,0.0,35,0,Cancellation
LWC,Travel Agency,Online,26,Europe,48.5,31.53,23,0,Single Trip
JZI,Airlines,Online,173,Asia,33.0,11.55,44,0,Value Plan
EPX,Travel Agency,Online,74,Asia,40.0,0.0,36,0,Cancellation
JZI,Airlines,Online,23,Asia,22.0,7.7,57,0,Value Plan
EPX,Travel Agency,Online,2,Asia,24.0,0.0,35,0,Comprehensive
ART,Airlines,Online,7,Asia,29.0,10.15,118,0,Value Plan
C2B,Airlines,Online,82,Asia,161.0,40.25,50,0,Value Plan
CWT,Travel Agency,Offline,66,Europe,99.0,59.4,57,0,Rental
EPX,Travel Agency,Online,156,Asia,26.0,0.0,36,1,Comprehensive
CWT,Travel Agency,Online,16,Oceania,59.4,35.64,29,0,Rental
JZI,Airlines,Online,10,Asia,45.0,15.75,45,0,Value Plan
JZI,Airlines,Offline,16,Asia,37.0,12.95,118,0,Value Plan
EPX,Travel Agency,Online,32,Asia,44.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,73,Asia,33.0,0.0,53,0,Cancellation
EPX,Travel Agency,Online,3,Asia,30.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,8,Asia,19.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,39,Asia,20.0,0.0,20,0,Comprehensive
KML,Travel Agency,Online,95,Europe,75.0,28.5,48,0,Value Plan
EPX,Travel Agency,Online,98,Asia,21.0,0.0,36,0,Cancellation
C2B,Airlines,Online,9,Asia,39.0,9.75,31,0,Value Plan
EPX,Travel Agency,Online,111,Asia,22.0,0.0,36,0,Cancellation
C2B,Airlines,Online,8,Asia,17.55,4.39,30,0,Value Plan
EPX,Travel Agency,Online,31,Asia,51.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,13,Asia,0.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,13,Asia,10.0,0.0,47,0,Cancellation
CWT,Travel Agency,Online,53,Asia,29.7,17.82,54,0,Rental
C2B,Airlines,Online,40,Asia,80.25,20.06,29,0,Value Plan
EPX,Travel Agency,Online,18,Asia,63.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,20,Asia,33.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,95,Europe,0.0,5.94,31,0,Rental
EPX,Travel Agency,Online,37,Asia,12.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,87,North America,64.0,0.0,20,0,Cancellation
EPX,Travel Agency,Online,9,Asia,112.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,70,Asia,10.0,0.0,20,0,Cancellation
EPX,Travel Agency,Online,25,Asia,30.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,151,North America,112.0,0.0,69,0,Comprehensive
C2B,Airlines,Online,19,Asia,72.0,18.0,34,0,Value Plan
EPX,Travel Agency,Online,45,Asia,53.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,20,Asia,38.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,3,Asia,15.0,0.0,36,0,Cancellation
C2B,Airlines,Online,11,Asia,17.0,4.25,52,1,Value Plan
EPX,Travel Agency,Online,37,Asia,24.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,23,Asia,59.4,35.64,53,0,Rental
EPX,Travel Agency,Online,54,Asia,54.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,23,Asia,37.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,10,Asia,36.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,14,Asia,19.8,11.88,25,1,Rental
EPX,Travel Agency,Online,31,Asia,33.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,38,Asia,69.0,0.0,36,0,Cancellation
RAB,Airlines,Online,4,Asia,15.0,6.0,28,0,Value Plan
JZI,Airlines,Online,38,Asia,30.0,10.5,46,0,Value Plan
EPX,Travel Agency,Online,114,Europe,115.0,0.0,36,0,Cancellation
C2B,Airlines,Online,13,Asia,76.3,19.07,35,1,Value Plan
EPX,Travel Agency,Online,118,Asia,20.0,0.0,30,0,Comprehensive
EPX,Travel Agency,Online,62,Africa,26.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,3,Asia,19.5,4.88,27,0,Value Plan
EPX,Travel Agency,Online,2,Asia,19.0,0.0,36,0,Cancellation
C2B,Airlines,Online,11,Asia,29.5,7.38,27,0,Value Plan
C2B,Airlines,Online,58,Asia,62.0,15.5,23,1,Value Plan
JZI,Airlines,Online,19,Asia,26.0,9.1,40,0,Value Plan
RAB,Airlines,Online,2,Asia,15.0,6.0,58,0,Value Plan
JZI,Airlines,Online,28,Asia,30.0,10.5,33,0,Value Plan
EPX,Travel Agency,Online,14,Asia,11.0,0.0,36,0,Cancellation
SSI,Airlines,Online,36,Asia,3.73,1.05,48,0,Cancellation
EPX,Travel Agency,Online,42,Asia,26.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,11,Asia,21.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,12,Asia,80.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,3,Asia,19.8,11.88,45,0,Rental
EPX,Travel Agency,Online,20,Asia,11.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,112,Asia,79.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,326,Asia,19.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,74,Oceania,138.6,83.16,50,0,Rental
EPX,Travel Agency,Online,22,Asia,10.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,24,Europe,49.5,29.7,35,0,Rental
EPX,Travel Agency,Online,59,Asia,18.0,0.0,30,0,Cancellation
EPX,Travel Agency,Online,3,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,4,Asia,10.0,0.0,36,0,Cancellation
C2B,Airlines,Online,19,Asia,22.5,5.63,22,1,Value Plan
JZI,Airlines,Online,43,Asia,42.0,14.7,43,0,Value Plan
C2B,Airlines,Online,44,Asia,39.0,9.75,50,0,Value Plan
EPX,Travel Agency,Online,29,Europe,59.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,11,North America,59.4,35.64,42,0,Rental
CWT,Travel Agency,Online,18,Asia,29.7,17.82,41,0,Rental
JZI,Airlines,Online,27,Asia,22.0,7.7,39,0,Value Plan
JZI,Airlines,Online,19,Asia,44.0,15.4,41,0,Value Plan
C2B,Airlines,Online,6,Asia,16.0,4.0,27,0,Value Plan
EPX,Travel Agency,Online,16,Asia,10.0,0.0,70,0,Cancellation
EPX,Travel Agency,Online,21,Asia,26.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,23,Asia,29.7,17.82,25,0,Rental
JZI,Airlines,Online,7,Asia,18.0,6.3,53,0,Value Plan
SSI,Airlines,Online,97,Asia,5.59,1.57,48,0,Cancellation
C2B,Airlines,Online,16,Asia,33.5,8.38,20,0,Value Plan
CWT,Travel Agency,Online,17,Europe,29.7,17.82,51,0,Rental
TST,Travel Agency,Offline,63,Asia,30.0,10.5,76,0,Single Trip
C2B,Airlines,Online,6,Asia,53.25,13.31,33,0,Value Plan
C2B,Airlines,Online,4,Asia,16.0,4.0,65,0,Value Plan
C2B,Airlines,Online,21,Asia,62.25,15.56,34,0,Value Plan
EPX,Travel Agency,Online,35,Asia,23.0,0.0,36,0,Comprehensive
KML,Travel Agency,Online,74,Europe,75.0,28.5,48,0,Value Plan
EPX,Travel Agency,Online,16,Europe,25.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,21,Europe,93.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,60,Asia,30.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,11,Asia,10.0,0.0,36,0,Cancellation
SSI,Airlines,Online,45,Asia,1.03,0.29,48,0,Cancellation
CWT,Travel Agency,Online,5,Asia,0.0,23.76,41,0,Rental
EPX,Travel Agency,Online,43,Asia,27.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,24,Asia,32.0,8.0,74,0,Value Plan
LWC,Travel Agency,Online,17,North America,56.5,36.73,35,0,Single Trip
JZI,Airlines,Online,14,Asia,39.0,13.65,39,0,Value Plan
JZI,Airlines,Online,18,Oceania,58.0,20.3,48,0,Value Plan
C2B,Airlines,Online,9,Asia,20.0,5.0,41,0,Value Plan
EPX,Travel Agency,Online,38,Asia,32.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,7,Asia,39.6,23.76,57,0,Rental
EPX,Travel Agency,Online,20,Asia,72.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,39,Asia,22.0,7.7,29,0,Value Plan
EPX,Travel Agency,Online,17,Asia,34.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,5,Asia,16.0,4.0,29,0,Value Plan
JZI,Airlines,Online,10,Asia,22.0,7.7,66,0,Value Plan
